id,emoji,name,name-ja,slug,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,category1,category2,category3
9f39870e-c887-4774-bbdc-1fdc4f9e447c,🏊,Swimming mixed medley relay,競泳男女混合メドレーリレー,Swimming-mixed-medley-relay,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,record,finish,,swimming,競泳,
e4441728-d149-4c58-9115-51fce8402e08,🏊,Swimming mixed medley relay 400m,競泳男女混合メドレーリレー400m,Swimming-mixed-medley-relay-400m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,record,finish,time,swimming,競泳,
fcc4dee1-b3ed-482a-b398-8fd6cbdcf79c,🐬,diving,飛込競技,diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,judgement,finish|count,,swimming,飛込,
7fb3db19-8daa-4b48-be20-ee76b29b5815,🐬,3m board jumping included,3m⾶板⾶込,3m-board-jumping-included,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,
2975d0d9-ed43-4613-b584-e38e485aba15,🐬,high diving,高飛込,high-diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,
306efb74-b3cc-482d-832a-049d9b1c8230,🐬,synchronized diving,シンクロナイズドダイビング,3m-synchronized-diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,シンクロナイズドダイビング
9dc5011b-932f-47f4-bffb-c8109ef14498,🐬,3m synchronized diving,3mシンクロナイズドダイビング,3m-synchronized-diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,シンクロナイズドダイビング
7aca9510-c80a-419c-aa5c-566ea0cf549f,🐬,10m synchronized diving,10mシンクロナイズドダイビング,10m-synchronized-diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,シンクロナイズドダイビング
9247fcfb-7cd8-44c9-a383-5e028c7aa28d,🐬,1m springboard diving,1m飛板飛込,1m-springboard-diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,
839c51fd-300e-432e-91b1-bfa249daf2af,🐬,springboard diving,飛板飛込,springboard-diving,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,judgement,finish|count,,swimming,飛込,
