id-old,emoji ,name_en-US,name_ja-JP,id,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,hasTricks,category 1,category 2,category 3,canBeDraw,gameEndFactorException,scoringUnitCountName,priorityRecordContents,,is paralymic,競技人口 (世界),人気の国,個人競技/チーム競技,団体戦があるか,チーム・クラブの値になるか,競技の結果になるか,結果の基準,終了のタイミング,,メモ
eb0e61e5-3482-473f-9726-726178997e6c,🏃‍♂️‍➡️,track and field-long-distance,陸上長距離,taf-long-distance,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,FALSE,track and field,,,,,,,,,,,,,TRUE,,得点,,,
8bcbc78a-ac23-46e4-976b-28c60a3f576e,🏃‍♀️,50m sprint,50m走,50m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,,,,,,,,,,,,,,,,,,,
aed6794b-88a6-4dcf-a2eb-f7461b5a6759,🏃‍♀️,60m sprint,60m走,60m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,,,,,,,,,,,,,,,,,,,
8df287a8-7112-42a4-a11f-3810d062812a,🏃‍♀️,100m sprint,100m走,100m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,トラック競技,短距離,,,,,,,,,,,,,,,,
caab95bd-1bc3-4095-b21a-645719192b5b,🏃‍♀️,200m sprint,200m走,200m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,,,,,,,,,,,,個人,,FALSE,,記録,,,
2b41336b-8371-473f-8672-d6660fa8f7db,🏃‍♀️,800m sprint,800m走,800m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,トラック競技,中距離,,,,,,,,,,,,,,,,
6e9b4f2f-3385-4649-baec-8362e0882cae,🏃‍♂️‍➡️,1 mile sprint,1マイル走,1mile-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,,,,,,,,,,,個人,,FALSE,,記録,,,
40fb178f-f23d-4ed1-9303-09a249a9b79a,🏃‍♂️‍➡️,1500m sprint,1500m走,1500m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,track and field,トラック競技,中距離,,,,,,,,,チーム,,FALSE,,記録,,,
34faab6f-76f6-4dc0-b53f-3f88fce4c5e8,🏃,400m x 4 relay,400mx4人リレー,taf-400m-x-4-relay,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,record,finish,time,FALSE,track and field,,,,,,,,,,,,,,,,,,
86b2b96a-d4e7-4ba3-af5d-a458b3050d50,🏃,relays,リレー走,taf-relays,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,,,,,,,,,,,,,,,,,,,
